"","pid","DefaultStatus","BuySignal","OverturnCondition","wug_role","p2_q1","p2_q2","p2_q3","signal_sent","pragmatism","purity","justice","social_recognition","pleasure","compassion","spirituality","equality","giving","freedom","respect_tadition","moral_mean"
"103","66744822576b11d40628191b","donated","75 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,5,2,6,4,5,5,2,7,5,5,3,4.45454545454545
"104","66a83f244414aaec48b22552","donated","25 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,8,3,3,4,4,9,2,8,6,7,6,5.45454545454545
"105","654918baca0c382f1b8d2dff","not donated","25 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,7,2,7,5,9,8,2,7,7,9,7,6.36363636363636
"106","6544ff9e0fb2eaaf83e2de5c","donated","25 tokens","1 token","Wug donor","1.0","2.0","2.0",1,5,7,5,7,7,7,8,5,7,8,5,6.45454545454545
"107","5ec17a2e02be030625eaff6e","donated","25 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,3,1,9,2,4,7,3,8,5,8,3,4.81818181818182
"108","66d0ea175f9fab7ad09a3a7b","donated","25 tokens","1 token","Wug donor","1.0","2.0","2.0",1,6,2,6,4,6,8,8,8,7,6,3,5.81818181818182
"109","66be4687d36e5e25cd77eb9b","donated","25 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,5,3,6,4,5,8,4,7,6,8,3,5.36363636363636
"110","60e9fd8a2f52070be49cf317","donated","25 tokens","19 tokens","Wug donor","1.0","1.0","1.0",1,9,8,6,8,9,9,4,9,7,9,6,7.63636363636364
"111","6629436add816d4eb7f42aba","donated","25 tokens","1 token","Wug donor","1.0","2.0","2.0",1,8,7,9,2,2,7,8,5,6,9,8,6.45454545454545
"112","66c3578812da7fda730611d2","not donated","75 tokens","1 token","Wug non-donor","2.0","1.0","2.0",1,7,6,9,5,7,8,8,5,8,9,8,7.27272727272727
"113","65d7dec4216af6591f2ca6dc","not donated","75 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,7,6,6,6,6,6,6,6,6,7,6,6.18181818181818
"114","6649388430628d06241ed013","not donated","75 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,5,7,8,4,6,8,9,7,7,8,7,6.90909090909091
"115","6567492900b32685a1ca02ae","not donated","25 tokens","1 token","Wug non-donor","1.0","2.0","1.0",1,8,8,8,5,7,9,9,7,8,8,7,7.63636363636364
"116","669eb2af269cbec55300f657","not donated","75 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,6,8,5,5,4,7,7,5,7,8,5,6.09090909090909
"117","5f3d6975ef131710ed519c7a","not donated","25 tokens","1 token","Wug non-donor","1.0","1.0","2.0",1,3,4,6,3,6,7,3,7,5,7,4,5
"118","65c3a122f00056edea1e17d0","not donated","25 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,4,5,9,5,6,8,9,9,8,9,6,7.09090909090909
"119","6435816b3f5be1197802bcd5","not donated","25 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,5,6,8,5,8,9,7,7,9,9,6,7.18181818181818
"120","6366cf2fcdf32555ba896463","donated","75 tokens","1 token","Wug donor","2.0","2.0","1.0",1,8,9,9,8,9,9,9,9,9,9,9,8.81818181818182
"121","6664f7c85d3674a27eea24b7","donated","75 tokens","1 token","Wug donor","1.0","2.0","2.0",1,6,6,7,6,7,9,6,7,7,8,7,6.90909090909091
"122","66294a87a6d0251d6a5b706b","donated","25 tokens","1 token","Wug donor","1.0","2.0","2.0",1,5,3,6,6,8,8,3,3,4,8,4,5.27272727272727
"123","66857f509c9b4cc9f685db0b","donated","25 tokens","19 tokens","Wug donor","1.0","1.0","2.0",1,7,8,8,5,5,6,8,9,6,9,5,6.90909090909091
"124","64776e3beba1085215214ec0","donated","25 tokens","19 tokens","Wug donor","2.0","2.0","1.0",1,5,5,6,4,5,8,5,7,5,8,5,5.72727272727273
"125","616567af93f2b71b50c3ff85","donated","25 tokens","1 token","Wug donor","2.0","1.0","2.0",1,8,5,9,5,9,9,8,9,9,9,8,8
"126","665c971906663c8ee2cd29fd","donated","25 tokens","1 token","Wug donor","1.0","1.0","2.0",1,5,5,8,2,8,8,2,8,5,9,5,5.90909090909091
"127","6544fd4daeb0e81889e217f7","donated","25 tokens","1 token","Wug donor","1.0","2.0","2.0",1,4,2,9,2,5,9,5,8,9,9,5,6.09090909090909
"128","5e90a1eaad04060882d17a3d","donated","75 tokens","19 tokens","Wug donor","2.0","1.0","2.0",1,5,3,6,5,7,6,4,6,6,6,5,5.36363636363636
"129","6101930ddd5330f83b898c61","not donated","25 tokens","1 token","Wug non-donor","2.0","1.0","2.0",1,4,3,7,4,8,7,3,7,5,7,3,5.27272727272727
"130","6630e9224b174b5c709cd1c2","donated","25 tokens","1 token","Wug donor","2.0","2.0","1.0",1,8,2,7,5,8,9,1,8,8,8,6,6.36363636363636
"131","666bfaaabe5a7ef5e126365d","donated","75 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,6,7,7,7,4,9,8,9,8,9,8,7.45454545454545
"132","6632fc0b22af8fdf65f98b32","not donated","75 tokens","1 token","Wug non-donor","1.0","2.0","2.0",1,6,9,9,3,6,8,9,8,5,9,3,6.81818181818182
"133","66ac44baacb76e7670d204c3","donated","75 tokens","19 tokens","Wug donor","1.0","1.0","1.0",1,2,4,8,4,5,6,5,7,7,5,4,5.18181818181818
"134","63b7566ea98814782bc51d9b","donated","75 tokens","1 token","Wug donor","1.0","1.0","1.0",1,7,8,9,6,7,9,2,8,7,9,5,7
"135","66cdef1ecb72020268699823","not donated","75 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,8,8,9,7,7,8,9,8,8,9,8,8.09090909090909
"136","62d43bf9cb693bf6980c5ea9","not donated","75 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,5,1,8,1,2,8,1,9,6,4,1,4.18181818181818
"137","669568cd1a4b4330eef514f9","not donated","25 tokens","1 token","Wug non-donor","2.0","1.0","2.0",1,4,3,5,2,5,5,2,5,5,6,5,4.27272727272727
"138","6682a6cf425086c187769348","not donated","25 tokens","19 tokens","Wug non-donor","2.0","1.0","1.0",1,4,4,7,5,7,8,8,7,6,8,8,6.54545454545455
"139","65db6b27470cd3b65bb2c64f","not donated","75 tokens","1 token","Wug non-donor","2.0","1.0","2.0",1,5,9,8,6,5,8,9,5,7,9,5,6.90909090909091
"140","6675dc105cde54e8629de98b","donated","25 tokens","19 tokens","Wug donor","2.0","1.0","1.0",1,8,7,8,5,9,9,7,9,8,9,8,7.90909090909091
"141","66393ddc9483d4299b5e311e","not donated","75 tokens","19 tokens","Wug non-donor","1.0","2.0","2.0",1,5,7,6,3,5,5,5,5,4,5,6,5.09090909090909
"142","62e2deadd18974300540f870","not donated","25 tokens","19 tokens","Wug non-donor","2.0","2.0","1.0",1,7,8,8,5,7,8,7,9,8,9,9,7.72727272727273
"143","66821bd8c0252a33b4c4390f","donated","25 tokens","19 tokens","Wug donor","2.0","2.0","1.0",1,7,8,8,7,6,8,8,8,7,8,8,7.54545454545455
"144","65e33239b5fa3ca93950aa67","not donated","25 tokens","19 tokens","Wug non-donor","1.0","1.0","2.0",1,5,5,9,2,9,9,9,9,9,9,8,7.54545454545455
"145","6560aa71bf5cc31f1c99ca34","not donated","25 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,5,5,5,2,8,5,5,5,5,5,5,5
"146","6307bd3bb93e804d22332b3e","donated","75 tokens","1 token","Wug donor","2.0","1.0","2.0",1,5,2,5,4,7,6,2,7,4,5,2,4.45454545454545
"147","66cd0e7697da8a305b69c66f","donated","25 tokens","1 token","Wug donor","1.0","2.0","2.0",1,7,2,8,3,7,9,8,8,8,5,2,6.09090909090909
"148","6505fff4fbf27987387ad7ef","donated","25 tokens","1 token","Wug donor","1.0","2.0","2.0",1,8,5,8,8,7,8,5,7,9,7,8,7.27272727272727
"149","6682d8b5121a4d9fb2c7c748","donated","25 tokens","1 token","Wug donor","1.0","2.0","1.0",1,8,5,6,5,5,7,9,8,8,8,9,7.09090909090909
"150","6633ce38def177f3db410a84","not donated","75 tokens","1 token","Wug non-donor","2.0","2.0","1.0",1,5,2,8,2,6,8,4,8,5,6,4,5.27272727272727
"151","6443ebb84fc33e703937a6f9","donated","25 tokens","19 tokens","Wug donor","2.0","1.0","2.0",1,9,9,9,9,8,9,8,9,9,9,8,8.72727272727273
"152","66a9979ad8c56c6f29446781","donated","75 tokens","1 token","Wug donor","2.0","2.0","1.0",1,4,3,6,6,9,9,7,7,6,9,3,6.27272727272727
"153","66d76c50ae7ee05847ae48e5","donated","25 tokens","19 tokens","Wug donor","1.0","2.0","2.0",1,5,7,5,4,6,7,7,6,7,7,6,6.09090909090909
"154","5ec585f19fbe6c5921eae3db","donated","75 tokens","19 tokens","Wug donor","1.0","1.0","2.0",1,8,2,9,2,8,9,2,9,8,9,3,6.27272727272727
"155","650da97f0e8d1e74d590dc2e","not donated","75 tokens","1 token","Wug non-donor","1.0","1.0","2.0",1,5,6,8,7,5,9,5,8,8,8,6,6.81818181818182
